Index,TimeStamp,ECG Value
920,1:24:457,95
921,1:24:460,77
922,1:24:464,120
923,1:24:468,177
924,1:30:73,362
925,1:30:75,123
926,1:30:77,129
927,1:30:80,87
928,1:30:83,124
929,1:30:87,89
930,1:30:90,119
931,1:30:94,356
932,1:30:97,110
933,1:30:101,205
934,1:30:104,90
935,1:30:108,119
936,1:30:112,103
937,1:30:116,104
938,1:30:120,364
939,1:30:123,100
940,1:30:127,71
941,1:30:130,117
942,1:30:134,194
943,1:30:137,102
944,1:30:141,107
945,1:30:144,351
946,1:30:148,87
947,1:30:152,127
948,1:30:156,149
949,1:30:160,85
950,1:30:163,127
951,1:30:167,94
952,1:30:170,472
953,1:30:174,125
954,1:30:178,89
955,1:30:181,119
956,1:30:185,211
957,1:30:188,93
958,1:30:192,116
959,1:30:195,385
960,1:30:200,93
961,1:30:204,116
962,1:30:207,130
963,1:30:211,99
964,1:30:214,138
965,1:30:218,140
966,1:30:221,364
967,1:30:225,126
968,1:30:229,136
969,1:30:232,115
970,1:30:236,144
971,1:30:240,139
972,1:30:244,117
973,1:30:247,395
974,1:30:251,140
975,1:30:255,114
976,1:30:258,155
977,1:30:262,143
978,1:30:265,134
979,1:30:269,154
980,1:30:272,388
981,1:30:276,113
982,1:30:280,149
983,1:30:284,123
984,1:30:288,106
985,1:30:291,140
986,1:30:295,102
987,1:30:298,364
988,1:30:302,137
989,1:30:306,96
990,1:30:309,111
991,1:30:313,128
992,1:30:316,96
993,1:30:320,111
994,1:30:323,383
995,1:30:328,91
996,1:30:332,123
997,1:30:335,132
998,1:30:339,98
999,1:30:342,125
1000,1:30:346,120
1001,1:35:950,374
1002,1:35:952,129
1003,1:35:954,220
1004,1:35:958,86
1005,1:35:962,109
1006,1:35:965,124
1007,1:35:969,95
1008,1:35:972,373
1009,1:35:976,128
1010,1:35:979,96
1011,1:35:983,129
1012,1:35:987,132
1013,1:35:990,96
1014,1:35:994,219
1015,1:35:997,387
1016,1:36:2,112
1017,1:36:5,118
1018,1:36:9,82
1019,1:36:12,117
1020,1:36:16,185
1021,1:36:19,115
1022,1:36:23,339
1023,1:36:26,107
1024,1:36:30,174
1025,1:36:33,90
1026,1:36:36,192
1027,1:36:40,86
1028,1:36:44,185
1029,1:36:48,325
1030,1:36:51,198
1031,1:36:55,91
1032,1:36:58,94
1033,1:36:62,86
1034,1:36:65,65
1035,1:36:69,92
1036,1:36:72,330
1037,1:36:76,91
1038,1:36:79,106
1039,1:36:83,73
1040,1:36:87,111
1041,1:36:91,77
1042,1:36:94,104
1043,1:36:98,395
1044,1:36:101,111
1045,1:36:105,112
1046,1:36:108,77
1047,1:36:112,209
1048,1:36:116,74
1049,1:36:119,80
1050,1:36:123,367
1051,1:36:126,188
1052,1:36:131,79
1053,1:36:134,110
1054,1:36:138,110
1055,1:36:142,88
1056,1:36:145,107
1057,1:36:149,363
1058,1:36:152,85
1059,1:36:156,107
1060,1:36:159,103
1061,1:36:163,81
1062,1:36:166,124
1063,1:36:171,109
1064,1:36:175,335
1065,1:36:178,121
1066,1:36:182,101
1067,1:36:185,103
1068,1:36:189,125
1069,1:36:192,96
1070,1:36:196,88
1071,1:36:200,387
